comune_1,comune_2,similarità_anni di attività,similarità_azioni eseguite (voci della tassonomia),similarità_macroambiti dei piani,similarità_densità (ab. / km2),similarità_popolazione (al 2022),similarità_campi dei piani,similarità_saldo popolazione 1992-2022,similarità_altitudine,similarità_distanza dal capoluogo,similarità_Media generale,similarità Media Caratteristiche comunali,similarità Media Piani comunali
Todi,Uri,0.333,0.217,1.0,,,0.467,,0.9410695777714794,,0.329,0.0,0.504
Todi,Uri,0.333,0.217,1.0,,,0.467,,0.9410695777714794,,0.329,0.0,0.504
Todi,Uri,0.333,0.217,1.0,,,0.467,,0.9410695777714794,,0.329,0.0,0.504
Todi,Uri,0.333,0.217,1.0,,,0.467,,0.9410695777714794,,0.329,0.0,0.504
Todi,Uri,0.333,0.217,1.0,,,0.467,,0.9410695777714794,,0.329,0.0,0.504
Todi,Uri,0.333,0.217,1.0,,,0.467,,0.9410695777714794,,0.329,0.0,0.504
Todi,Uri,0.333,0.217,1.0,,,0.467,,0.9410695777714794,,0.329,0.0,0.504
Todi,Uri,0.333,0.217,1.0,,,0.467,,0.9410695777714794,,0.329,0.0,0.504
Todi,Uri,0.333,0.217,1.0,,,0.467,,0.9410695777714794,,0.329,0.0,0.504
Todi,Uri,0.333,0.217,1.0,,,0.467,,0.9410695777714794,,0.329,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Bono,0.333,0.222,1.0,,,0.5,,0.8968951416990879,,0.328,0.0,0.514
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Todi,Uri,0.333,0.214,1.0,,,0.467,,0.9410695777714794,,0.328,0.0,0.504
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Panchià,Todi,0.5,0.4,0.8,,,0.615,,0.6075998813480956,,0.325,0.0,0.579
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,1.0,,,0.462,,0.99369100736456,,0.325,0.0,0.482
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Orbassano,Todi,0.333,0.133,0.8,,,0.643,,0.99369100736456,,0.323,0.0,0.477
Todi,Borutta,0.333,0.375,0.8,,,0.5,,0.8959886837092638,,0.323,0.0,0.502
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
Orbassano,Todi,0.333,0.311,0.8,,,0.462,,0.99369100736456,,0.322,0.0,0.476
