IDOrganizzazione_1,IDOrganizzazione_2,similarità_campi dei piani,similarità_macroambiti dei piani,similarità_dimensione dell'organizzazione,similarità_popolazione residente nel comune dell'organizzazione,similarità_azioni eseguite (voci della tassonomia),similarità_composizione statistica dell'organico,similarità_anni di attività,similarità_settore dell'organizzazione,similarità_Media generale,similarità Media Piani delle organizzazioni,similarità Media caratteristiche delle organizzazioni
3,42169074,0.8181818181818182,1.0,0.0,,0.13513513513513514,,0.0,0.0,0.244,0.5,0.0
3,11416596,0.8181818181818182,1.0,0.0,,0.13636363636363635,,0.0,0.0,0.244,0.5,0.0
3,15112897,0.8181818181818182,1.0,0.0,,0.12195121951219512,,0.0,0.0,0.243,0.5,0.0
3,13090819,0.5,0.6666666666666666,0.0,,0.1111111111111111,,0.6666666666666666,0.0,0.243,0.667,0.0
3,11668872,0.75,0.8571428571428571,0.0,,0.15555555555555556,,0.18181818181818182,0.0,0.243,0.519,0.0
3,24432605,0.8181818181818182,1.0,0.0,,0.1282051282051282,,0.0,0.0,0.243,0.5,0.0
3,22737728,0.8181818181818182,1.0,0.0,,0.1282051282051282,,0.0,0.0,0.243,0.5,0.0
3,11423582,0.8181818181818182,1.0,0.0,,0.1282051282051282,,0.0,0.0,0.243,0.5,0.0
3,22748378,0.8181818181818182,1.0,0.0,,0.1276595744680851,,0.0,0.0,0.243,0.5,0.0
3,37423000,0.8181818181818182,1.0,0.0,,0.125,,0.0,0.0,0.243,0.5,0.0
3,23037500,0.8181818181818182,1.0,0.0,,0.12195121951219512,,0.0,0.0,0.243,0.5,0.0
3,38176350,0.8181818181818182,1.0,0.0,,0.125,,0.0,0.0,0.243,0.5,0.0
3,22923138,0.8181818181818182,1.0,0.0,,0.1276595744680851,,0.0,0.0,0.243,0.5,0.0
3,11423477,0.8181818181818182,1.0,0.0,,0.12195121951219512,,0.0,0.0,0.243,0.5,0.0
3,24512567,0.8181818181818182,1.0,0.0,,0.1276595744680851,,0.0,0.0,0.243,0.5,0.0
3,38292651,0.8181818181818182,1.0,0.0,,0.1276595744680851,,0.0,0.0,0.243,0.5,0.0
3,24635635,0.8181818181818182,1.0,0.0,,0.11627906976744186,,0.0,0.0,0.242,0.5,0.0
3,24617981,0.8181818181818182,1.0,0.0,,0.12121212121212122,,0.0,0.0,0.242,0.5,0.0
3,21697226,0.8181818181818182,1.0,0.0,,0.11904761904761904,,0.0,0.0,0.242,0.5,0.0
3,24461172,0.8181818181818182,1.0,0.0,,0.11428571428571428,,0.0,0.0,0.242,0.5,0.0
3,16589318,0.8181818181818182,1.0,0.0,,0.11627906976744186,,0.0,0.0,0.242,0.5,0.0
3,22881504,0.8181818181818182,1.0,0.0,,0.12121212121212122,,0.0,0.0,0.242,0.5,0.0
3,22817670,0.8181818181818182,1.0,0.0,,0.11764705882352941,,0.0,0.0,0.242,0.5,0.0
3,53475688,0.7272727272727273,1.0,0.0,,0.20588235294117646,,0.0,0.0,0.242,0.5,0.0
3,46746173,0.8181818181818182,1.0,0.0,,0.12121212121212122,,0.0,0.0,0.242,0.5,0.0
3,39718140,0.8181818181818182,1.0,0.0,,0.11428571428571428,,0.0,0.0,0.242,0.5,0.0
3,38270618,0.8181818181818182,1.0,0.0,,0.1111111111111111,,0.0,0.0,0.241,0.5,0.0
3,11464570,0.8181818181818182,1.0,0.0,,0.1111111111111111,,0.0,0.0,0.241,0.5,0.0
3,23172027,0.8181818181818182,1.0,0.0,,0.10869565217391304,,0.0,0.0,0.241,0.5,0.0
3,24654376,0.8181818181818182,1.0,0.0,,0.1111111111111111,,0.0,0.0,0.241,0.5,0.0
3,24655348,0.8181818181818182,1.0,0.0,,0.10810810810810811,,0.0,0.0,0.241,0.5,0.0
3,22787251,0.8181818181818182,1.0,0.0,,0.1111111111111111,,0.0,0.0,0.241,0.5,0.0
3,12346418,0.8181818181818182,1.0,0.0,,0.10869565217391304,,0.0,0.0,0.241,0.5,0.0
3,37303802,0.8181818181818182,1.0,0.0,,0.1111111111111111,,0.0,0.0,0.241,0.5,0.0
3,12432933,0.8181818181818182,1.0,0.0,,0.1111111111111111,,0.0,0.0,0.241,0.5,0.0
3,24430807,0.8181818181818182,1.0,0.0,,0.10810810810810811,,0.0,0.0,0.241,0.5,0.0
3,24530218,0.8181818181818182,1.0,0.0,,0.11363636363636363,,0.0,0.0,0.241,0.5,0.0
3,33163973,0.8181818181818182,1.0,0.0,,0.10256410256410256,,0.0,0.0,0.24,0.5,0.0
3,38274951,0.8181818181818182,1.0,0.0,,0.1,,0.0,0.0,0.24,0.5,0.0
3,24417143,0.8181818181818182,1.0,0.0,,0.10526315789473684,,0.0,0.0,0.24,0.5,0.0
3,11423678,0.8181818181818182,1.0,0.0,,0.10256410256410256,,0.0,0.0,0.24,0.5,0.0
3,11421014,0.8181818181818182,1.0,0.0,,0.10204081632653061,,0.0,0.0,0.24,0.5,0.0
3,24655546,0.8181818181818182,1.0,0.0,,0.10256410256410256,,0.0,0.0,0.24,0.5,0.0
3,48615138,0.8181818181818182,1.0,0.0,,0.1,,0.0,0.0,0.24,0.5,0.0
3,44701390,0.8181818181818182,1.0,0.0,,0.1,,0.0,0.0,0.24,0.5,0.0
3,42014143,0.7272727272727273,1.0,0.0,,0.18181818181818182,,0.0,0.0,0.239,0.5,0.0
3,17911757,0.8181818181818182,1.0,0.0,,0.09523809523809523,,0.0,0.0,0.239,0.5,0.0
3,24634621,0.8181818181818182,1.0,0.0,,0.09523809523809523,,0.0,0.0,0.239,0.5,0.0
3,30404299,0.8181818181818182,1.0,0.0,,0.09302325581395349,,0.0,0.0,0.239,0.5,0.0
3,17223141,0.8181818181818182,1.0,0.0,,0.09523809523809523,,0.0,0.0,0.239,0.5,0.0
3,38360501,0.8181818181818182,1.0,0.0,,0.09523809523809523,,0.0,0.0,0.239,0.5,0.0
3,37045921,0.8181818181818182,1.0,0.0,,0.0975609756097561,,0.0,0.0,0.239,0.5,0.0
3,35979660,0.8181818181818182,1.0,0.0,,0.09523809523809523,,0.0,0.0,0.239,0.5,0.0
3,43949902,0.8181818181818182,1.0,0.0,,0.09375,,0.0,0.0,0.239,0.5,0.0
3,22896597,0.8181818181818182,1.0,0.0,,0.09302325581395349,,0.0,0.0,0.239,0.5,0.0
3,21048907,0.8181818181818182,1.0,0.0,,0.08620689655172414,,0.0,0.0,0.238,0.5,0.0
3,24529441,0.8181818181818182,1.0,0.0,,0.08888888888888889,,0.0,0.0,0.238,0.5,0.0
3,12299216,0.6363636363636364,1.0,0.0,,0.06666666666666667,,0.2,0.0,0.238,0.6,0.0
3,32563879,0.8181818181818182,1.0,0.0,,0.08888888888888889,,0.0,0.0,0.238,0.5,0.0
3,11423554,0.8181818181818182,1.0,0.0,,0.08571428571428572,,0.0,0.0,0.238,0.5,0.0
3,38553239,0.8181818181818182,1.0,0.0,,0.08333333333333333,,0.0,0.0,0.238,0.5,0.0
3,45024864,0.8181818181818182,1.0,0.0,,0.0851063829787234,,0.0,0.0,0.238,0.5,0.0
3,24431251,0.8181818181818182,1.0,0.0,,0.0851063829787234,,0.0,0.0,0.238,0.5,0.0
3,15114811,0.8181818181818182,1.0,0.0,,0.0784313725490196,,0.0,0.0,0.237,0.5,0.0
3,23166880,0.8181818181818182,1.0,0.0,,0.07894736842105263,,0.0,0.0,0.237,0.5,0.0
3,32546696,0.8181818181818182,1.0,0.0,,0.075,,0.0,0.0,0.237,0.5,0.0
3,22834383,0.8181818181818182,1.0,0.0,,0.08108108108108109,,0.0,0.0,0.237,0.5,0.0
3,46152143,0.8181818181818182,1.0,0.0,,0.08108108108108109,,0.0,0.0,0.237,0.5,0.0
3,22778156,0.8181818181818182,1.0,0.0,,0.07692307692307693,,0.0,0.0,0.237,0.5,0.0
3,42071139,0.8181818181818182,1.0,0.0,,0.06976744186046512,,0.0,0.0,0.236,0.5,0.0
3,22834498,0.8181818181818182,1.0,0.0,,0.07142857142857142,,0.0,0.0,0.236,0.5,0.0
3,22817877,0.8181818181818182,1.0,0.0,,0.07142857142857142,,0.0,0.0,0.236,0.5,0.0
3,24672560,0.8181818181818182,1.0,0.0,,0.07317073170731707,,0.0,0.0,0.236,0.5,0.0
3,48057955,0.8181818181818182,1.0,0.0,,0.06060606060606061,,0.0,0.0,0.235,0.5,0.0
3,24634137,0.8181818181818182,1.0,0.0,,0.06060606060606061,,0.0,0.0,0.235,0.5,0.0
3,44710847,0.8181818181818182,1.0,0.0,,0.058823529411764705,,0.0,0.0,0.235,0.5,0.0
3,30901606,0.8181818181818182,1.0,0.0,,0.0625,,0.0,0.0,0.235,0.5,0.0
3,31425671,0.8181818181818182,1.0,0.0,,0.06451612903225806,,0.0,0.0,0.235,0.5,0.0
3,31901796,0.8181818181818182,1.0,0.0,,0.06,,0.0,0.0,0.235,0.5,0.0
3,39850829,0.8181818181818182,1.0,0.0,,0.05555555555555555,,0.0,0.0,0.234,0.5,0.0
3,24606672,0.8181818181818182,1.0,0.0,,0.05555555555555555,,0.0,0.0,0.234,0.5,0.0
3,25848641,0.8181818181818182,1.0,0.0,,0.05128205128205128,,0.0,0.0,0.234,0.5,0.0
3,61775119,0.8181818181818182,1.0,0.0,,0.05714285714285714,,0.0,0.0,0.234,0.5,0.0
3,22890813,0.8181818181818182,1.0,0.0,,0.05714285714285714,,0.0,0.0,0.234,0.5,0.0
3,22748742,0.8181818181818182,1.0,0.0,,0.05263157894736842,,0.0,0.0,0.234,0.5,0.0
3,50539607,0.8181818181818182,1.0,0.0,,0.05263157894736842,,0.0,0.0,0.234,0.5,0.0
3,46327415,0.8181818181818182,1.0,0.0,,0.05714285714285714,,0.0,0.0,0.234,0.5,0.0
3,11420582,0.8181818181818182,1.0,0.0,,0.05714285714285714,,0.0,0.0,0.234,0.5,0.0
3,24412967,0.8,1.0,0.0,,0.075,,0.0,0.0,0.234,0.5,0.0
3,11423421,0.7272727272727273,1.0,0.0,,0.13333333333333333,,0.0,0.0,0.233,0.5,0.0
3,41147164,0.8181818181818182,1.0,0.0,,0.04878048780487805,,0.0,0.0,0.233,0.5,0.0
3,11423392,0.6363636363636364,1.0,0.0,,0.10526315789473684,,0.125,0.0,0.233,0.562,0.0
3,11423544,0.8181818181818182,1.0,0.0,,0.047619047619047616,,0.0,0.0,0.233,0.5,0.0
3,51541567,0.7777777777777778,1.0,0.0,,0.07692307692307693,,0.0,0.0,0.232,0.5,0.0
3,24445801,0.8181818181818182,1.0,0.0,,0.04081632653061224,,0.0,0.0,0.232,0.5,0.0
3,24672469,0.7272727272727273,1.0,0.0,,0.12121212121212122,,0.0,0.0,0.231,0.5,0.0
3,25888697,0.7272727272727273,1.0,0.0,,0.12121212121212122,,0.0,0.0,0.231,0.5,0.0
3,37417707,0.8181818181818182,1.0,0.0,,0.029411764705882353,,0.0,0.0,0.231,0.5,0.0
3,46322477,0.7272727272727273,1.0,0.0,,0.12195121951219512,,0.0,0.0,0.231,0.5,0.0
3,48990529,0.8181818181818182,1.0,0.0,,0.02702702702702703,,0.0,0.0,0.231,0.5,0.0
3,31926527,0.8181818181818182,1.0,0.0,,0.03225806451612903,,0.0,0.0,0.231,0.5,0.0
3,16351011,0.8181818181818182,1.0,0.0,,0.030303030303030304,,0.0,0.0,0.231,0.5,0.0
3,43869993,0.8181818181818182,1.0,0.0,,0.030303030303030304,,0.0,0.0,0.231,0.5,0.0
3,37516374,0.8181818181818182,1.0,0.0,,0.025,,0.0,0.0,0.23,0.5,0.0
3,15114560,0.8181818181818182,1.0,0.0,,0.023255813953488372,,0.0,0.0,0.23,0.5,0.0
3,12299186,0.45454545454545453,1.0,0.0,,0.13793103448275862,,0.25,0.0,0.23,0.625,0.0
3,11433379,0.6923076923076923,0.8571428571428571,0.0,,0.125,,0.16666666666666666,0.0,0.23,0.512,0.0
3,24417894,0.7272727272727273,1.0,0.0,,0.1,,0.0,0.0,0.228,0.5,0.0
3,24501790,0.8181818181818182,1.0,0.0,,0.0,,0.0,0.0,0.227,0.5,0.0
3,24673735,0.7272727272727273,1.0,0.0,,0.08571428571428572,,0.0,0.0,0.227,0.5,0.0
3,57489018,0.7777777777777778,1.0,0.0,,0.034482758620689655,,0.0,0.0,0.227,0.5,0.0
3,11417041,0.75,0.8571428571428571,0.0,,0.2127659574468085,,0.0,0.0,0.227,0.429,0.0
3,23166520,0.8181818181818182,1.0,0.0,,0.0,,0.0,0.0,0.227,0.5,0.0
3,43925569,0.8181818181818182,1.0,0.0,,0.0,,0.0,0.0,0.227,0.5,0.0
3,24460126,0.7272727272727273,1.0,0.0,,0.075,,0.0,0.0,0.225,0.5,0.0
3,22449157,0.7,1.0,0.0,,0.10344827586206896,,0.0,0.0,0.225,0.5,0.0
3,24431272,0.7,1.0,0.0,,0.08823529411764706,,0.0,0.0,0.224,0.5,0.0
3,32014069,0.7272727272727273,1.0,0.0,,0.06666666666666667,,0.0,0.0,0.224,0.5,0.0
3,24501033,0.7272727272727273,1.0,0.0,,0.058823529411764705,,0.0,0.0,0.223,0.5,0.0
3,24461416,0.7272727272727273,1.0,0.0,,0.05555555555555555,,0.0,0.0,0.223,0.5,0.0
3,11420736,0.5454545454545454,1.0,0.0,,0.10810810810810811,,0.125,0.0,0.222,0.562,0.0
3,11420318,0.7272727272727273,1.0,0.0,,0.05263157894736842,,0.0,0.0,0.222,0.5,0.0
3,11420994,0.6923076923076923,0.8571428571428571,0.0,,0.11363636363636363,,0.1111111111111111,0.0,0.222,0.484,0.0
3,56291112,0.7272727272727273,1.0,0.0,,0.030303030303030304,,0.0,0.0,0.22,0.5,0.0
3,24430386,0.7,1.0,0.0,,0.058823529411764705,,0.0,0.0,0.22,0.5,0.0
3,11423643,0.7272727272727273,1.0,0.0,,0.027777777777777776,,0.0,0.0,0.219,0.5,0.0
3,11420842,0.6363636363636364,1.0,0.0,,0.1,,0.0,0.0,0.217,0.5,0.0
3,31593950,0.6363636363636364,1.0,0.0,,0.08823529411764706,,0.0,0.0,0.216,0.5,0.0
3,11293417,0.75,0.8571428571428571,0.0,,0.11363636363636363,,0.0,0.0,0.215,0.429,0.0
3,24485944,0.7272727272727273,0.8333333333333334,0.0,,0.14893617021276595,,0.0,0.0,0.214,0.417,0.0
3,42070610,0.6363636363636364,1.0,0.0,,0.06060606060606061,,0.0,0.0,0.212,0.5,0.0
3,42997657,0.7272727272727273,0.8333333333333334,0.0,,0.10810810810810811,,0.0,0.0,0.209,0.417,0.0
3,24460182,0.6363636363636364,1.0,0.0,,0.02564102564102564,,0.0,0.0,0.208,0.5,0.0
3,11590777,0.6,1.0,0.0,,0.06060606060606061,,0.0,0.0,0.208,0.5,0.0
3,11931589,0.21621621621621623,1.0,0.0,,0.14285714285714285,,0.3,0.0,0.207,0.65,0.0
3,44165155,0.5454545454545454,1.0,0.0,,0.10714285714285714,,0.0,0.0,0.207,0.5,0.0
3,22737572,0.7272727272727273,0.8333333333333334,0.0,,0.08571428571428572,,0.0,0.0,0.206,0.417,0.0
3,47120523,0.5454545454545454,1.0,0.0,,0.06451612903225806,,0.0,0.0,0.201,0.5,0.0
3,58358377,0.7272727272727273,0.8333333333333334,0.0,,0.02857142857142857,,0.0,0.0,0.199,0.417,0.0
3,53869234,0.7272727272727273,0.8333333333333334,0.0,,0.027777777777777776,,0.0,0.0,0.199,0.417,0.0
3,22865741,0.7272727272727273,0.8333333333333334,0.0,,0.02631578947368421,,0.0,0.0,0.198,0.417,0.0
3,11417049,0.5454545454545454,1.0,0.0,,0.03571428571428571,,0.0,0.0,0.198,0.5,0.0
3,11423519,0.5,0.8571428571428571,0.0,,0.05555555555555555,,0.16666666666666666,0.0,0.197,0.512,0.0
3,25907131,0.6923076923076923,0.75,0.0,,0.09302325581395349,,0.0,0.0,0.192,0.375,0.0
3,11420562,0.36363636363636365,1.0,0.0,,0.0,,0.16666666666666666,0.0,0.191,0.583,0.0
3,12345743,0.28125,1.0,0.0,,0.046511627906976744,,0.2,0.0,0.191,0.6,0.0
3,11942072,0.022222222222222223,1.0,0.0,,0.0,,0.5,0.0,0.19,0.75,0.0
3,40015174,0.5454545454545454,0.8333333333333334,0.0,,0.13636363636363635,,0.0,0.0,0.189,0.417,0.0
3,31902916,0.45454545454545453,1.0,0.0,,0.03333333333333333,,0.0,0.0,0.186,0.5,0.0
3,11947394,0.08,0.8571428571428571,0.0,,0.11428571428571428,,0.42857142857142855,0.0,0.185,0.643,0.0
3,31243157,0.45454545454545453,1.0,0.0,,0.0,,0.0,0.0,0.182,0.5,0.0
3,11955001,0.09859154929577464,1.0,0.0,,0.05,,0.3,0.0,0.181,0.65,0.0
3,11933093,0.0,0.8333333333333334,0.0,,0.058823529411764705,,0.5,0.0,0.174,0.667,0.0
3,22865035,0.45454545454545453,0.6666666666666666,0.0,,0.09090909090909091,,0.0,0.0,0.152,0.333,0.0
3,11947372,0.0,1.0,0.0,,0.1,,0.0,0.0,0.138,0.5,0.0
3,13073313,0.36363636363636365,0.6666666666666666,0.0,,0.037037037037037035,,0.0,0.0,0.133,0.333,0.0
3,58418337,0.1,0.16666666666666666,0.0,,0.043478260869565216,,0.0,0.0,0.039,0.083,0.0
3,26,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,11417278,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1387,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,239,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,775,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1165,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1365,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1371,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1372,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1373,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1385,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1386,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1388,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1720,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1389,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1402,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1403,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1408,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1608,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1652,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1701,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1706,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1713,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,12757999,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
